Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5, C6, C7, C8",0402,6,100nF,C307331
"C10, C3, C9",0402,3,1uF,C52923
C2,0402,1,4.7uF,C52923
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D5, D6, D7, D8, D9",D_SOD123,44,1n4148,C81598
F1,1206,1,500mA,C70076
"H2_7, H2_6, H2_5, H2_4, H2_3, H2_2, H2",,7,,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
"MX00, MX25, MX45, MX60",MXOnly-1.75U-Hotswap-Vertical,4,~,
"MX01, MX02, MX03, MX24, MX42, MX43, MX44, MX61",MXOnly-1.25U-Hotswap-Vertical,8,~,
"MX04, MX10, MX11, MX12, MX13, MX14, MX15, MX21, MX22, MX23, MX31, MX32, MX33, MX34, MX41, MX50, MX51, MX52, MX53, MX54, MX55, MX62, MX63, MX64, MX71, MX72, MX73, MX74",MXOnly-1U-Hotswap,28,~,
"MX05, MX20, MX40, MX65",MXOnly-1.5U-Hotswap-Vertical,4,~,
MX21.2,MXOnly-2U-Hotswap-ReversedVerticalStabilizers,1,~,
"MX33.2, MX72.2",MXOnly-2U-Hotswap,2,~,
MX64.2,MXOnly-2U-Hotswap-VerticalStabilizers,1,~,
R1,0402,1,10k,C25744
"R2, R3",0402,2,5k1,C25905
"SW1, SW2",SW_SPST_SKQG_WithoutStem,2,RST,C318884
U1,SOT-23-6,1,USBLC6-2SC6,C2827654
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072C8Tx,C80488
U3,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
